0	Kuali etok!					¡Está bien!
0	Kani tiyaskej?					¿Dónde vamos?
0	Ponyo!						¡Ahí voy!
0	Moixpantsinko!					¡Con permiso!
0	Mohuantsin!					¡Adiós!
0	Mohuantsinko!					¡Adiós!
0	Namohuantsin!					¡Adiós!
0	Namohuantsinko!					¡Adiós!
0	Mota kisati in tonaltsin.			Se ve que va a salir el sol.
0	Nikochisneki.					Quiero dormir.
0	Amo niyekkochik tiotak.				No dormí bien anoche.
0	Nimitsonixpolohua.				Le extraño a usted.
5	Ne nimoskalti ihuan nochanka huan nipajki.	Yo nací con mis padres y estoy feliz.
6	Nimitspalehuia?					Te puedo ayudar?
6	Nimitspalehuis?					Te podré ayudar?
7	Ne notokay Pedro.				Mi nombre es Pedro.
7	Te motokay Valeria.				Tu nombre es Valeria.
7	Yehua itokay Felipe.				Su nombre es Felipe.
7	Keni motokay?					Cuál es tu nombre?
7	Sekin nechtokaytia Pancho.			Algunos me llaman Pancho.
7	Nikuilita ma nechtokaytikan Roberto.		Me gusta que me llamen Roberto.
7	Yehua keni nitokay?				Él cuál es su nombre?
7	Ne tepet nitokay Zotolo.			_
7	Keni monotsa moaltepe?				Cómo se llama tu pueblo?
7	Keni itokay moaltepe?				Cúal es el nombre de tu pueblo?
7	Nijin altepet itokay Tetela.			Este pueblo se llama Tetela.
7	Nijin xihuit nitokay mikexihuit.		Esta hierba se llama romero.
7	Amo nikmati.					No sé.
7	Nikuilita nikochis.				Quiero dormir.
8	Keni mitsonkahua in sejsek?			Cómo le deja el frío?
8	Keni mitsonkahua in totonik?			Cómo le deja el calor?
8	Keni nanmontiotaki?				Cómo entardecen?
