Eyi minutos ma se nejnentiu		Tres minutos caminando
Ken ya huetsik				Como caiga
Ten ya huetsik				Lo que caiga
Taiki					Ven a tomar
Nikafentaiti				Voy a tomar café
Nochi kualetok				Los dos están bien
Nechtokilia				Sígueme
Nechontokilican				Síganme
Nimehuak ya				Ya me levanté
Huan nikchiujtok in kafentsin		Y estoy haciendo el cafecito
Ayamo nimehua.				Todavía no me levanto.
Moyolkokos.				Se va a poner triste.
Mitskokoa mopox?			Te duele la panza?
Nechkokoa nopox.			Me duele la panza.
Ton tikuati axkan?			Qué comiste hoy?
Algún día tikkuaskej ijkon México	Algun día comeremos así en México.
Amo kuali ok				_
In cosa yej nojon			La cosa es eso
Am nechilijkej				No me dijeron
Xomocuidaro por favor			Cuídate por favor
Kon tikchihuati				Vamos a hacer así
Niyo tranquilamente			Voy tranquilamente
Amo nochin restaurantes ijkon		No todos los restaurantes son así
Kon kijto				Así dijo
Ken titanes?				Cómo amaneciste?
Xomomachili itech mochan		Siéntese en tu casa

